task_id,epoch,train_loss,train_acc,grad_norm_mean,grad_norm_std,update_norm_mean,update_norm_std
0,1,2.063029966255029,0.4537333333333333,1.101999355857571,0.43592345843728686,0.0011019993965261771,0.00043592351030969864
0,2,0.9126852600475153,0.7819166666666667,2.4391609688103197,0.635499495057048,0.0024391610841848887,0.0006354995693748365
0,3,0.5216205665580929,0.8585333333333334,2.756781271249056,0.9688756612560844,0.0027567814259624964,0.0009688757696963106
0,4,0.4176768546914682,0.8841666666666667,2.8081145973106225,1.1731723471733801,0.0028081146966578673,0.001173172373969091
0,5,0.3713996363847206,0.8951833333333333,2.7906264518226185,1.3226277125194978,0.0027906265926600704,0.0013226277722182618
1,1,0.6910163600618641,0.8146166666666667,3.36732679917415,1.1093066666606541,0.0028787344964997224,0.0009839185527236631
1,2,0.40406884099325785,0.8891333333333333,2.9633757640173037,1.2155616352152536,0.0024182429741995293,0.000979275345698745
1,3,0.3540297044661517,0.9005166666666666,2.902980190053582,1.3829249656111846,0.002349064710375387,0.001108981987733475
1,4,0.32650741236253333,0.90735,2.8669486291781068,1.4373968684820317,0.0023175958692154383,0.0011507080972050516
1,5,0.30708393184375016,0.9128,2.8296853614225985,1.4946307112759107,0.0022910235009597577,0.0011969612321689564
2,1,0.606900925340131,0.82175,4.0323532869319125,1.627393298824459,0.0035061058666324245,0.0014232580104270329
2,2,0.3679056092239916,0.8948333333333334,3.3005825392231345,1.4889191616897417,0.002799765053598094,0.0012471520657432898
2,3,0.3277192649554151,0.9056166666666666,3.177075250957161,1.561974738916998,0.002678570186492531,0.0013032006401606305
2,4,0.30438363448747746,0.9124166666666667,3.068211149084071,1.6464651528791308,0.002583818837784444,0.0013712396091900632
2,5,0.2873131313946409,0.9172333333333333,3.014400632273406,1.6620728919783054,0.0025379236387258666,0.001385171890545784
3,1,0.5821776085210343,0.8246833333333333,4.405202658404907,1.8734370502774615,0.003925584914924305,0.0016803612184219535
3,2,0.3424666495261093,0.90175,3.4636613627920547,1.653392385085325,0.0030287507032019977,0.001428709759798627
3,3,0.30246861713721107,0.9135833333333333,3.285317869797349,1.7202372255548672,0.0028592115964189966,0.00148178658487111
3,4,0.2782143119951555,0.9206333333333333,3.1371340639442207,1.7319619054157647,0.00272983163269843,0.0014947981745770539
3,5,0.2601371170495016,0.9256666666666666,3.053437943816185,1.7678496209675847,0.002656051279018963,0.001523639833567818
4,1,0.5598404194554314,0.8322833333333334,4.591654196232557,2.034891707297004,0.00413678702080991,0.001830162907161207
4,2,0.33311696830314275,0.9034666666666666,3.587083748562882,1.74463721542269,0.0031852226063504834,0.0015324249327431814
4,3,0.29245247200954083,0.91515,3.3889460910384854,1.776893538012772,0.0029994558302933,0.0015561995074377711
4,4,0.2671693253030535,0.9235666666666666,3.212833448052406,1.8262443422814116,0.0028430512163407306,0.001600580824866861
4,5,0.24795766939905783,0.92905,3.109738709601263,1.849217925817655,0.0027504672464626007,0.001618740726009882
